name,country,region,rating,rating_count,price,source_sheet,vintage,producer_hint
Antinori Villa Antinori Toscana Bianco 2020,Italië,Toscane,3.8,3472,23.95,Uruguay,2020.0,Antinori
Bastioni della Rocca Leggero Appassimento Puglia 2019,Italië,Puglia,4.1,3220,20.99,Uruguay,2019.0,Bastioni
Fontodi Chianti Classico 2018,Italië,Chianti Classico,4.0,2914,87.99,Uruguay,2018.0,Fontodi
Renato Ratti Barolo Marcenasco 2015,Italië,Barolo,4.3,2898,196.65,Uruguay,2015.0,Renato
Antinori Castello della Sala Bram√¨to Chardonnay 2019,Italië,Umbrië,4.0,2826,42.95,Uruguay,2019.0,Antinori
G.D. Vajra Albe Barolo 2017,Italië,Barolo,4.1,2750,113.75,Uruguay,2017.0,G.D.
Antinori Tignanello 2019,Italië,Toscane,4.6,2642,506.25,Uruguay,2019.0,Antinori
Renato Ratti Barolo Marcenasco 2013,Italië,Barolo,4.1,2612,203.11,Uruguay,2013.0,Renato
Tenuta San Guido Sassicaia 2018,Italië,Bolgheri Sassicaia,4.6,2586,731.25,Uruguay,2018.0,Tenuta
Ornellaia Le Serre Nuove 2017,Italië,Bolgheri,4.3,2556,161.79,Uruguay,2017.0,Ornellaia
Tommasi Amarone della Valpolicella Classico 2017,Italië,Amarone della Valpolicella Classico,4.3,2504,153.51,Uruguay,2017.0,Tommasi
Fontodi Chianti Classico 2017,Italië,Chianti Classico,4.0,2480,87.99,Uruguay,2017.0,Fontodi
Produttori del Barbaresco Barbaresco 2018,Italië,Barbaresco,4.2,2386,107.0,Uruguay,2018.0,Produttori
La Braccesca Vino Nobile di Montepulciano 2018,Italië,Vino Nobile di Montepulciano,4.1,2379,39.99,Uruguay,2018.0,La
Zenato Amarone della Valpolicella Classico 2017,Italië,Amarone della Valpolicella Classico,4.4,2366,136.0,Uruguay,2017.0,Zenato
Antinori Pian delle Vigne Brunello di Montalcino 2016,Italië,Brunello di Montalcino,4.3,2360,94.99,Uruguay,2016.0,Antinori
Tenuta Castiglioni Chianti 2020,Italië,Chianti,3.7,2354,33.0,Uruguay,2020.0,Tenuta
Tenuta Il Poggione Brunello di Montalcino 2016,Italië,Brunello di Montalcino,4.3,2318,131.0,Uruguay,2016.0,Tenuta
G.D. Vajra Langhe Rosso 2019,Italië,Langhe,3.8,2277,37.63,Uruguay,2019.0,G.D.
Tormaresca Primitivo Salento Torcicoda 2018,Italië,Salento,4.1,2219,49.99,Uruguay,2018.0,Tormaresca
Planeta Chardonnay 2020,Italië,Menfi,4.2,2200,80.0,Uruguay,2020.0,Planeta
Pasqua Vigneti e Cantine 11 Minutes Rosato 2020,Italië,Veneto,4.2,2141,24.733333333333334,Uruguay,2020.0,Pasqua
Renato Ratti Barolo Marcenasco 2014,Italië,Barolo,4.2,2125,179.33,Uruguay,2014.0,Renato
Vietti Perbacco Nebbiolo 2019,Italië,Langhe,4.0,2116,61.0,Uruguay,2019.0,Vietti
Casalforte Amarone della Valpolicella 2017,Italië,Amarone della Valpolicella,4.1,2004,48.95,Uruguay,2017.0,Casalforte
Marina Cvetiƒá Montepulciano d'Abruzzo Riserva 2017,Italië,Montepulciano d’Abruzzo,4.2,1981,49.99,Uruguay,2017.0,Marina
F√®lsina Berardenga Chianti Classico 2019,Italië,Chianti Classico,3.8,1965,57.0,Uruguay,2019.0,F√®lsina
Fontanafredda Ebbio Langhe Nebbiolo 2018,Italië,Langhe,3.5,1908,35.0,Uruguay,2018.0,Fontanafredda
Arnaldo-Caprai Montefalco Rosso 2018,Italië,Montefalco,3.8,1842,39.0,Uruguay,2018.0,Arnaldo-Caprai
Planeta Plumbago Nero d'Avola Sicilia 2017,Italië,Sicilia,3.8,1838,34.0,Uruguay,2017.0,Planeta
Tormaresca Negroamaro Salento Calafuria Rosato 2020,Italië,Salento,4.1,1751,34.99,Uruguay,2020.0,Tormaresca
Grattamacco Bolgheri Rosso 2019,Italië,Bolgheri,4.0,1713,75.25,Uruguay,2019.0,Grattamacco
G.D. Vajra Langhe Rosso 2020,Italië,Langhe,3.8,1705,36.0,Uruguay,2020.0,G.D.
Pio Cesare Nebbiolo 2016,Italië,Langhe,3.8,1687,79.2,Uruguay,2016.0,Pio
Ponte Lungo Curioso 2018,Italië,Toscane,3.9,1657,19.99,Uruguay,2018.0,Ponte
Vietti Barolo Castiglione 2017,Italië,Barolo,4.2,1655,167.42,Uruguay,2017.0,Vietti
